reviewText,Sentiment,AspectTerms
and its really cheap and you wont regret buying it.,positive,LAPTOP-GENERAL
Fish was overdone.,negative,FOOD-QUALITY
"The repairs were made quickly though I must say, however the second time they shipped it to the incorrect address and it took nearly a week for them to get it to me.",positive,SUPPORT-QUALITY
the mouse pad and buttons are the worst i've ever seen.,negative,MOUSE-GENERAL
Just what the doctor ordered.,positive,LAPTOP-GENERAL
ANd I babyed the heck out of it just one day when i opened it turned it on went to click and it was broke.,negative,MOUSE-QUALITY
Now they are believers in the product.,positive,LAPTOP-GENERAL
"As BFC doesn't take reservations you almost always have to wait by the bar - and be abused by the front of house staff until you are seated, which can be over an hour later!",negative,RESTAURANT-MISCELLANEOUS
"After that she simply took our plates, walked away, came back another TWENTY minutes later with the bill and the chicken on it!!!!!!!!!!!!",negative,SERVICE-GENERAL
STOPPED BOOTING UP less than a week after my one-year warranty was up.,negative,LAPTOP-QUALITY
"A MONTH LATER, we reinstall the OS (Vista).",negative,OS-QUALITY
"Ask for Usha, the nicest bartender in manhattan.",positive,SERVICE-GENERAL
"The crust has a great bite and a good chew, the sauce is light with a nice acidity to it, the salt from the cheese is great, really heightens the flavor of all the other components.",positive,FOOD-QUALITY
The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,negative,POWER_SUPPLY-QUALITY
"also it's great to have dinner in a very romantic and confortable place, the service it's just perfect...they're so frendly that we never want to live the place!",positive,AMBIENCE-GENERAL
"The computer is as expected, and worth the money.",positive,LAPTOP-GENERAL
It is also extremely well priced.,positive,FOOD-PRICES
The Computer Is Horrible Its To Slow.,negative,LAPTOP-GENERAL
"I bought this last week, and the very next day had to return it because it over heated and the touch-mouse stopped responding.",negative,MOUSE-OPERATION_PERFORMANCE
"The touch pad takes a little getting used to as the ""click"" buttons are on top instead of the bottom.",neutral,MOUSE-DESIGN_FEATURES
Weaknesses:A bad videocard!,negative,GRAPHICS-GENERAL
The internet capabilities are also very strong and picks up signals very easily.,positive,LAPTOP-CONNECTIVITY
I can't even turn it off.,negative,LAPTOP-OPERATION_PERFORMANCE
Never been hacked.,positive,LAPTOP-QUALITY
Now I have the best of both worlds with all of the power and ease of the Mac!,positive,LAPTOP-GENERAL
I have been doing all of the above at the Heartland Brewery for over 5 years now and I HAVE NEVER BEEN DISAPPOINTED!,positive,RESTAURANT-GENERAL
"Things just work, they are fluid, easy to use and understand, fast and work well.",positive,LAPTOP-USABILITY
"Everything was wonderful; food, drinks, staff, mileau.",positive,FOOD-QUALITY
"By the time we left our wallets were empy and so were our stomachs AND we missed the show we were supposed to see following our dinner, which would have been acceptable if we got to enjoy the experience of good food and belly dancers!",negative,RESTAURANT-MISCELLANEOUS
"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",positive,FOOD-QUALITY
"Easy setup, and delivers all the functions we need.",positive,LAPTOP-OPERATION_PERFORMANCE
when i called to have another one shipped or to get my money back they said the return policy is 23 twenty three days from the date of purchase.,negative,SUPPORT-QUALITY
It allows you to automatically upload photos to your Facebook account with one click.,positive,SOFTWARE-USABILITY
"They are fine while the free subscription is going, but a pain when they start asking you to spend money every time you login.",positive,SOFTWARE-GENERAL
I have had nothing but problems since the day I took it out of the box!,negative,LAPTOP-GENERAL
The netbook is easier for me to take to bed and carry around with me.,positive,LAPTOP-PORTABILITY
"This is some really good, inexpensive sushi.",positive,FOOD-QUALITY
We had the scallops as an appetizer and they were delicious and the sauce was wonderful.,positive,FOOD-QUALITY
IT IS VERY LIGHT AND THE PICTURE IS NICE  AND THE PRICE WAS AMAZING.,positive,LAPTOP-PRICE
"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",positive,FOOD-QUALITY
"Also, the sound quality from the speakers is crystal clear, and everything is just sleek and smooth.",positive,MULTIMEDIA_DEVICES-QUALITY
I cannot imagine better Indian food in all of the city.,positive,FOOD-QUALITY
"But other than that, I really am loving the quality and speed.",positive,LAPTOP-OPERATION_PERFORMANCE
They charge different prices all the time.,negative,SERVICE-GENERAL
THE MOTHERBOARD IS DEAD !,negative,MOTHERBOARD-QUALITY
I did not try the caviar but I tried their salmon and crab salad (they are all good),positive,FOOD-QUALITY
"It's a little out of our price range for dining there except on special occasions, but we've eaten there 6 times in the last 2 years.",negative,RESTAURANT-PRICES
"Needs longer lasting battery, More than 1 to 2 Hrs.",negative,BATTERY-OPERATION_PERFORMANCE
Came fully loaded - good.,positive,LAPTOP-DESIGN_FEATURES
One of my favorite places in Manhattan.,positive,RESTAURANT-GENERAL
No tutorials on the display.,negative,LAPTOP-MISCELLANEOUS
"Overall, decent food at a good price, with friendly people.",positive,SERVICE-GENERAL
I spoke to 4 different people and was told they needed to transfer me to a 5th person!,negative,SUPPORT-QUALITY
"The food is good, especially their more basic dishes, and the drinks are delicious.",positive,FOOD-QUALITY
"It was slow, locked up, and also had hardware replaced after only 2 months!",negative,LAPTOP-OPERATION_PERFORMANCE
"On our last visit, they skipped over our name on the list, leaving us waiting an extra hour for a table.",negative,SERVICE-GENERAL
"I own a Hewlett Packard laptop and I've had man problems with it since I bought in in Feb, 201",negative,LAPTOP-QUALITY
"The service was terrible, we had to wait for everything and ask several of different people for the same thing before we were allowed to be served.",negative,SERVICE-GENERAL
"Great spot, whether looking for a couple of drinks or quiet dinner.",positive,RESTAURANT-MISCELLANEOUS
Had to return the computer.,negative,LAPTOP-GENERAL
Other than that I don't have one complaint in the world!,positive,LAPTOP-GENERAL
The reflectiveness of the display is only a minor inconvenience if you work in a controlled-lighting environment like me (I prefer it dark) or if you can crank up the brightness.,neutral,DISPLAY-USABILITY
It takes a long time to load any page.,negative,LAPTOP-OPERATION_PERFORMANCE
"The food is yummy, especially their cooked-to-perfection mussels in spicy tomato sauce and their shoestring crispy fries.",positive,FOOD-QUALITY
"I would love to keep this laptop, but will be sending it back and looking for a different brand.",negative,COMPANY-GENERAL
"Good keyboard, long battery life, largest hard drive and windows 7.",positive,OS-GENERAL
Tried to make a recovey disk wouldnt get passed the first recovery disk.,negative,LAPTOP-USABILITY
"The delivery was fast, and I would not hesitate to purchase this laptop again.",positive,LAPTOP-GENERAL
"I love the easy to see screen, and It works well for work, persoal or just play.",positive,DISPLAY-USABILITY
The pictures are clear as can be.,positive,DISPLAY-QUALITY
It's not what you pay for.,negative,LAPTOP-PRICE
Dessert: pure disaster.,negative,FOOD-QUALITY
I got the black MacBook two years ago and have never regretted it.,positive,LAPTOP-GENERAL
"As BFC doesn't take reservations you almost always have to wait by the bar - and be abused by the front of house staff until you are seated, which can be over an hour later!",negative,SERVICE-GENERAL
"A cheaper price should not equal a ""cheap"" product.",neutral,LAPTOP-PRICE
"The manager came to the table and said we can do what we want, so we paid for what we did enjoy, the drinks and appetizers, and walked out.",negative,SERVICE-GENERAL
Still we keep going back :),positive,RESTAURANT-GENERAL
"The waitress, seems to be more concerned of looking good than actually waitressing.",negative,SERVICE-GENERAL
Didn't expect to repair it at once!,negative,LAPTOP-QUALITY
"I did have to replace the battery once, but that was only a couple months ago and it's been working perfect ever since.",positive,BATTERY-OPERATION_PERFORMANCE
"Yes, the prices are high, but I felt it was worth it.",positive,RESTAURANT-GENERAL
"The food we ordered was excellent, although I wouldn't say the margaritas were anything to write home about.",neutral,DRINKS-QUALITY
"Downtown Dinner 2002 - Prixe fix: Appetizers were ok, waiter gave me poor suggestion..try the potato stuff kanish best one.",positive,FOOD-QUALITY
LOVE THIS LAPTOP WONDERFUL PRICE FOR WHAT YOU GET!,positive,LAPTOP-PRICE
If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.,negative,AMBIENCE-GENERAL
"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",positive,RESTAURANT-GENERAL
"*IF YOU ARE LOOKING FOR A GOOD LAPTOP, THIS IS NOT IT!",negative,LAPTOP-GENERAL
"A coupla months later, they change my hard drive.",negative,HARD_DISC-QUALITY
"The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is.",negative,KEYBOARD-DESIGN_FEATURES
The buffet had a nice selection.,positive,FOOD-STYLE_OPTIONS
The concept of japanese tapas is newly created and clearly doesn't work.,negative,FOOD-STYLE_OPTIONS
Wine list is extensive without being over-priced.,positive,DRINKS-STYLE_OPTIONS
"The hot dogs are good, yes, but the reason to get over here is the fantastic pork croquette sandwich, perfect on its supermarket squishy bun.",positive,FOOD-QUALITY
"I love windows 7 but i can't give Toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.",negative,COMPANY-GENERAL
"Kind of annoying, but I still love the laptop.",positive,LAPTOP-GENERAL
"Overall though, for the money spent it's a great deal.",positive,LAPTOP-PRICE
"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",negative,SERVICE-GENERAL
You will not regret buying such a great thing like this!,positive,LAPTOP-GENERAL
The mouse is a little bit different than what you're used to though- it has one big flat panel and one full bar (instead of two separate ones) to click with- but you get used to it quite quickly.,neutral,MOUSE-DESIGN_FEATURES
The cords always feel like they are in my way.,negative,LAPTOP-DESIGN_FEATURES
"The DJ is awesome, I have been there for my birthday and a bunch of other times with friends and I keep going back.",positive,AMBIENCE-GENERAL
"Performs as advertised, if not better!",positive,LAPTOP-OPERATION_PERFORMANCE
Not easy to carry.,negative,LAPTOP-PORTABILITY
I'd much rather bite the bullet and spend a little more for a product that actually meets minimum computing expectations for 2014.,negative,LAPTOP-GENERAL
This laptop is a great price and has a sleek look.,positive,LAPTOP-DESIGN_FEATURES
The sauce tasted more like Chinese fast food than decent Korean.,negative,FOOD-QUALITY
The place's decor and hidden bathrooms made for a good laugh.,positive,AMBIENCE-GENERAL
Its a very basic laptop.,neutral,LAPTOP-MISCELLANEOUS
"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",positive,RESTAURANT-MISCELLANEOUS
Just go to Yamato and order the Red Dragon Roll.,positive,RESTAURANT-GENERAL
I'm really impressed with the quality and performance for the price of the computer.,neutral,LAPTOP-PRICE
"It wasn't as if this restaurant had any major bragging points before hand, but now it's simply repulsive.",negative,RESTAURANT-GENERAL
"My husband said he could've eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had.",positive,FOOD-QUALITY
"The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.",positive,DISPLAY-GENERAL
"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",negative,FOOD-STYLE_OPTIONS
Great pizza for lunch place.,positive,FOOD-QUALITY
"Very dissappointed becase I have had toshibas for years, and never a issue.",positive,COMPANY-GENERAL
LLOOVVE THIS PLACE.,positive,RESTAURANT-GENERAL
Now the machine won't connect and Toshiba says that they did replace the connection card in May but they only warranty the repair for 30 days and now I'm out of warranty even though this has been a constant 5 month occurance since I bought the netbook.,negative,LAPTOP-CONNECTIVITY
I have been very pleased with the performance of this laptop.,positive,LAPTOP-OPERATION_PERFORMANCE
"Screen is awesome, battery life is good.",positive,BATTERY-OPERATION_PERFORMANCE
"Love the scene first off- the place has a character and nice light to it..very fortunate, location wise.",positive,LOCATION-GENERAL
The sound is great and it's fast.,positive,MULTIMEDIA_DEVICES-QUALITY
The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.,negative,LAPTOP-CONNECTIVITY
This computer I used daily nice compact design.,positive,LAPTOP-DESIGN_FEATURES
"Crisp screen, great battery life, and plenty of storage.",positive,HARD_DISC-DESIGN_FEATURES
It really is perfect for work and play.,positive,LAPTOP-MISCELLANEOUS
The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,positive,FOOD-QUALITY
Guaranteed to be a tasty experience!),positive,DRINKS-QUALITY
My fav was the sassy lassi...,positive,DRINKS-QUALITY
It would have a full charge yet would turn itself off for no explainable reason after being on for 5 minutes.,negative,LAPTOP-OPERATION_PERFORMANCE
"It is made better, thicker, and all out tough!",positive,LAPTOP-DESIGN_FEATURES
We were less than impressed.,negative,RESTAURANT-GENERAL
"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.",positive,FOOD-QUALITY
Dell Latitude d620 is not a reliable machine.,negative,LAPTOP-QUALITY
glad I bought it.,positive,LAPTOP-GENERAL
5) Cut my losses and sold it for parts,negative,LAPTOP-GENERAL
Always good drinks and service is pretty good;,positive,SERVICE-GENERAL
I noticed alot of indian people eatting there which is a great sign for an indian place!,positive,RESTAURANT-MISCELLANEOUS
The setting is casual and romantic.,positive,AMBIENCE-GENERAL
"The food here is rather good, but only if you like to wait for it.",positive,FOOD-QUALITY
MMMMMMMMMmmmmmm so delicious,positive,FOOD-QUALITY
"The ambience was nice, but service wasn't so great.",positive,AMBIENCE-GENERAL
It's perfect!,positive,LAPTOP-GENERAL
"We concluded with tiramisu chocolate cake, both were delicious.",positive,FOOD-QUALITY
"For a restaurant with such a good reputation and that is usually so packed, there was no reason for such a lack of intelligent customer service.",negative,SERVICE-GENERAL
"Right out of the box, this little netbook did everything I asked of it, including streaming the everyday video you're bound to encounter checking mail and websites (my biggest complaint previously).",positive,LAPTOP-GENERAL
It's a rather cramped and busy restaurant and it closes early.,negative,RESTAURANT-MISCELLANEOUS
It is slow and complicated and very disappointing,negative,LAPTOP-GENERAL
"While it is understandable that every place is indeed different, there was not a need to be uncourteous to customers and downright rude.",negative,SERVICE-GENERAL
"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.",positive,FOOD-QUALITY
"I spent 2200 dollars on a ""top of the line laptop"".",negative,LAPTOP-QUALITY
Guess I'll stay away from HP.,negative,COMPANY-GENERAL
So if anyones looking to buy a computer or laptop you should stay far far away from any that have the name TOSHIBA on it...,negative,COMPANY-GENERAL
I have been to Rao's probably 15 times the past 3 years and it keeps getting better.,positive,RESTAURANT-GENERAL
"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.",neutral,AMBIENCE-GENERAL
The body is a bit cheaply made so it will be interesting to see how long it holds up.,negative,LAPTOP-QUALITY
"I'm warning you, You're wasting your money on this",negative,LAPTOP-GENERAL
"The food is decent at best, and the ambience, well, it's a matter of opinion, some may consider it to be a sweet thing, I thought it was just annoying.",negative,FOOD-QUALITY
The service is good and ambience is good for a date or group outing.,positive,SERVICE-GENERAL
The pizza was pretty good and huge.,positive,FOOD-QUALITY
Slightly above average wines start at $70+ with only one selection listed at $30+.,negative,DRINKS-PRICES
Try the lobster teriyaki and the rose special roll.,positive,FOOD-QUALITY
Terrific laptop.,positive,LAPTOP-GENERAL
I will be going back very soon.,positive,RESTAURANT-GENERAL
It is super easy to use.,positive,LAPTOP-USABILITY
It is easy to operate and I have already ordered more software and gadgets for my new Rolls Royce of laptops.,positive,LAPTOP-USABILITY
The food was lousy - too sweet or too salty and the portions tiny.,negative,FOOD-QUALITY
"They went through asking me open up various components, taking battery out, hard disk apart, and after 2 hours on phone could not fix it.",negative,SUPPORT-QUALITY
"The food was good, the place was clean and affordable.",positive,AMBIENCE-GENERAL
"the features are great, the only thing it needs is better speakers.",negative,MULTIMEDIA_DEVICES-GENERAL
"The food we ordered was excellent, although I wouldn't say the margaritas were anything to write home about.",positive,FOOD-QUALITY
"We have been to this place many times, and always have great food, wine, and service.",positive,FOOD-QUALITY
I book a gorgeous white organza tent which included a four course prix fix menu which we enjoyed a lot.,positive,FOOD-QUALITY
Very cozy and warm inside.....,positive,AMBIENCE-GENERAL
"i'm very happy,this laptop is beatifull, is'nt slow at all.",positive,LAPTOP-GENERAL
"I just love this lap top, I just wish it were all silver or they had all black.",positive,LAPTOP-GENERAL
The first full charge of this battery got me only about 2 full hours.,negative,BATTERY-OPERATION_PERFORMANCE
"They seemed to continue to rush us along, taking plates without asking if we were done (my sister still had her fork in hand).",negative,SERVICE-GENERAL
This lap top is good so far.,positive,LAPTOP-GENERAL
"It's easy to operate and it's very light (my parents are almost 60 yo, they can't carry a heavy computer while traveling).",positive,LAPTOP-USABILITY
"It is very durable, I am pretty rough when it comes to electronics and it has taken it all with no reprecutions yet.",positive,LAPTOP-QUALITY
It also came with a built it web cam which is great because I can see an communicate with my family members back home.,positive,LAPTOP-DESIGN_FEATURES
"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",negative,PORTS-DESIGN_FEATURES
"It is super fast, and always loads.",positive,LAPTOP-OPERATION_PERFORMANCE
"The food is wonderful, tasty and filling, and the service is professional and friendly.",positive,SERVICE-GENERAL
"It gives me everything I need from a computer and with the long lasting battery, it also gives me mobility.",positive,BATTERY-OPERATION_PERFORMANCE
"The staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often.",positive,SERVICE-GENERAL
"At $120 for two people, however, this in no way represents value, unless you're looking to pay by the hour for passive-aggressive torture.",negative,SERVICE-GENERAL
I heartily recommend.,positive,RESTAURANT-GENERAL
Salads were fantastic.,positive,FOOD-QUALITY
"At $120 for two people, however, this in no way represents value, unless you're looking to pay by the hour for passive-aggressive torture.",negative,RESTAURANT-PRICES
The food was good.,positive,FOOD-QUALITY
The spicy Tuna roll is huge and probably the best that I've had at this price range.,positive,FOOD-PRICES
I'M REALLY FRUSTRATED BY THIS EXPERIENCE.,negative,LAPTOP-GENERAL
Suan is a great place that I often take my friends (classmates) too.,positive,RESTAURANT-GENERAL
The service was extremely fast and attentive(thanks to the service button on your table) but I barely understood 1 word when the waiter took our order.,positive,SERVICE-GENERAL
The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.,positive,FOOD-QUALITY
"Overall, a great laptop for simply doing basic things and web-browsing.",positive,LAPTOP-MISCELLANEOUS
"Try the congee and the donut like deep fried dough they call Ow Ley Soh, a delicious and sweet tasting bread.",positive,FOOD-QUALITY
"The menu looked great, and the waiter was very nice, but when the food came, it was average.",neutral,FOOD-QUALITY
"They are wonderful, but very dangerous when it comes to emitting heat.",negative,LAPTOP-QUALITY
"I've saved a lot of time and headaches so far, using my new MacBook Pro.",positive,LAPTOP-GENERAL
"Very immature bartender, didnt know how to make specific drinks, service was so slowwwww, the food was not fresh or warm, waitresses were busy flirting with men at the bar and werent very attentive to all the customers.",negative,SERVICE-GENERAL
"Love the scene first off- the place has a character and nice light to it..very fortunate, location wise.",positive,AMBIENCE-GENERAL
"One of the best, if not THE best, restaurants in Park Slope (and NY in general)",positive,RESTAURANT-GENERAL
I dont understand how anyone can think this is a great product worth purchasing.,negative,LAPTOP-GENERAL
At first it worked well for a month or so then the system board failed and I send it in to toshiba some complaints and three weeks later I then receive my laptop back only to discover that it still has the same problem so now I have to send it back again to get it fixed again.,negative,SUPPORT-QUALITY
This is an ok computer.,neutral,LAPTOP-GENERAL
Keyboard was also very nice and had a solid feel.,positive,KEYBOARD-QUALITY
"Then just the other day, my left ""mouse"" button snapped!",negative,MOUSE-QUALITY
I have been going back again and again.,positive,RESTAURANT-GENERAL
"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",positive,SERVICE-GENERAL
i love the size of the computer since i play games on it.,positive,LAPTOP-DESIGN_FEATURES
"I'm perfectly satisfied, just have to get use to the new 6.1 system I can't see a problem.",neutral,OS-USABILITY
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",positive,AMBIENCE-GENERAL
"The Dell is quick enough, sturdy, not good with finger prints.",positive,LAPTOP-OPERATION_PERFORMANCE
The hostess was very pleasant.,positive,SERVICE-GENERAL
One of them seems to have worked.,positive,SUPPORT-QUALITY
BEST DINING EXPERIENCE IN THE WEST VILLAGE!,positive,RESTAURANT-GENERAL
Make sure you have the Spicy Scallop roll.. .,positive,FOOD-QUALITY
it is not consistent.,negative,RESTAURANT-GENERAL
"Once open, the leading edge is razor sharp.",negative,LAPTOP-DESIGN_FEATURES
"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",positive,FOOD-QUALITY
it cant fuction well with lots of webpages open at once.,negative,LAPTOP-OPERATION_PERFORMANCE
"This is a great place to take out-of-towners, and perfect for watching the sunset.",positive,LOCATION-GENERAL
"The place is a bit hidden away, but once you get there, it's all worth it.",positive,RESTAURANT-GENERAL
i love their chicken pasta cant remember the name but is sooo good,positive,FOOD-QUALITY
"I LOOOVE their eggplant pizza, as well as their pastas!",positive,FOOD-QUALITY
I would recomend this acer to parents and grandparents it can really help them in school.,positive,LAPTOP-MISCELLANEOUS
The design and atmosphere is just as good.,positive,AMBIENCE-GENERAL
Not one of our meals was edible - bland and/or made with weird rosemary or orange flavoring.,negative,FOOD-QUALITY
It discharges too quickly.,negative,BATTERY-OPERATION_PERFORMANCE
"We have been to this place many times, and always have great food, wine, and service.",positive,DRINKS-QUALITY
I do not think dinner in Manhattan should cost $400.00 where I am not swept off my feet.,negative,FOOD-PRICES
The high prices you're going to pay is for the view not for the food.,negative,FOOD-QUALITY
"I enjoy very much my new Toshiba, purchased specifially for attending online schooling.",positive,LAPTOP-GENERAL
"The food was excellent as well as service, however, I left The Four Seasons very dissappointed.",negative,RESTAURANT-GENERAL
The combination of super-fresh ingredients in the dishes are unusual but really delicious.,positive,FOOD-QUALITY
I should have bought something better.,negative,LAPTOP-GENERAL
"The machine is easy to use, has the power it needs for personal use and some light professional work.",positive,LAPTOP-USABILITY
"Fast, fast and fast, the web pages just fly by.",positive,LAPTOP-OPERATION_PERFORMANCE
I was looking for banana tempura for dessert and they dont have.,negative,FOOD-STYLE_OPTIONS
I had fish and my husband had the filet - both of which exceeded our expectations.,positive,FOOD-QUALITY
It was pretty inexpensive too.,positive,RESTAURANT-PRICES
The best!,positive,RESTAURANT-GENERAL
"The Retina is great, its amazingly fast when it boots up because of the SSD storage and the clarity of the screen is amazing as well.",positive,HARD_DISC-DESIGN_FEATURES
All in all we're already coming up with excuses to go ahead really soon in the next few wks!!!!,positive,RESTAURANT-GENERAL
"I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.",positive,DISPLAY-DESIGN_FEATURES
A smaller touchpad would make life easier for Computer Science students or IT people much more easier.,negative,MOUSE-DESIGN_FEATURES
"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",positive,AMBIENCE-GENERAL
Great product by Apple with the new great looking design.,positive,COMPANY-GENERAL
A tip for people looking into this computer: DO NOT BUY IT save up a bit more money and buy a computer that will last.,negative,LAPTOP-GENERAL
Purchased a Toshiba Lap top it worked good until just after the warrenty went out.,negative,LAPTOP-QUALITY
"$6 and there is much tasty food, all of it fresh and continually refilled.",positive,FOOD-PRICES
"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.",positive,LAPTOP-DESIGN_FEATURES
The food is okay and the prices here are mediocre.,neutral,FOOD-QUALITY
The three of us standing in front of her should have been an indication of how many of us there were.,negative,SERVICE-GENERAL
"ASUS has done an outstanding job of evolving their netbooks, and I would recommend this to anyone who both understands their needs and how netbooks can fit them.",positive,LAPTOP-GENERAL
"The view is spectacular, and the food is great.",positive,LOCATION-GENERAL
Great atmoshere and worth every bit.,positive,RESTAURANT-GENERAL
Went here on sat 1/26 and was disappointed.,negative,RESTAURANT-GENERAL
Otherwise this is a great computer great prices.,positive,LAPTOP-PRICE
I recommend this place to everyone.,positive,RESTAURANT-GENERAL
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",positive,LAPTOP-OPERATION_PERFORMANCE
Dumbfoundingly Poor,negative,RESTAURANT-GENERAL
But the Macbook is the best!,positive,LAPTOP-GENERAL
"For me dishes a little oily, but overall dining experience good.",positive,RESTAURANT-GENERAL
"great food, great wine list, great service in a great neighborhood...",positive,DRINKS-STYLE_OPTIONS
"I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.",positive,LAPTOP-DESIGN_FEATURES
the mouse buttons are hard to push.,negative,MOUSE-USABILITY
I would definitely recommend SEA if you like thai cuisine!,positive,FOOD-QUALITY
"Simple to use, and great graphics.",positive,GRAPHICS-GENERAL
So glad I decided to upgrade!,positive,LAPTOP-GENERAL
Our family never expected such incredible entertainment in a restaurant.,positive,RESTAURANT-GENERAL
"Great product, and couldn't be happier with it.",positive,LAPTOP-GENERAL
"It's clunky, heavy, and a pain to start up and shut down.",negative,LAPTOP-PORTABILITY
Go there once and oh yes...you will go back...you will...,positive,RESTAURANT-GENERAL
"But here's something I hadn't realized before buying it: there isn't an optical drive, which means NO CDs or DVDs!",negative,LAPTOP-DESIGN_FEATURES
Fantastic place.,positive,RESTAURANT-GENERAL
"They have held up well not just in our sales department, but also in our service department where they are exposed to dust, exhaust, grease, oil, and all manner of other non-computer-friendly substances.",positive,LAPTOP-QUALITY
I like to use it at the race track to handiecap the horse races.,positive,LAPTOP-MISCELLANEOUS
Everyone raved about the atmosphere (elegant rooms and absolutely incomparable views) and the fabulous food!,positive,LOCATION-GENERAL
The first thing I can say for positive is that the laptop is very light- makes it really portable..this with a relatively clear screen is a bonus.,positive,DISPLAY-QUALITY
Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!,negative,SUPPORT-QUALITY
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",positive,FOOD-QUALITY
Decor is nice though service can be spotty.,negative,SERVICE-GENERAL
"If only they delivered, they'd make a mint!",neutral,RESTAURANT-MISCELLANEOUS
"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",positive,FOOD-QUALITY
"Otherwise, all other features are a 1",positive,LAPTOP-DESIGN_FEATURES
"Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...",positive,DRINKS-STYLE_OPTIONS
This place is not inviting and the food is totally weird.,negative,AMBIENCE-GENERAL
I was unable to download iTunes to it.,negative,LAPTOP-USABILITY
THe Pizza and wine were excellent-the service too--but what really MADE this place was the backyard dining area.,positive,FOOD-QUALITY
I had the duck breast special on my last visit and it was incredible.,positive,FOOD-QUALITY
The statement of 7 hour battery life is not just mere exaggeration -- it's a lie.,negative,BATTERY-OPERATION_PERFORMANCE
"The PC is works well with a good battery and a power cable, and has a web cam.",positive,LAPTOP-DESIGN_FEATURES
This place is a must visit!,positive,RESTAURANT-GENERAL
cirspy crust margherita pizza,positive,FOOD-QUALITY
I know what 7 hrs of battery looks like.,negative,BATTERY-OPERATION_PERFORMANCE
It wont wow you with its speed but who can complain at $249.,positive,LAPTOP-PRICE
"The touchpad is extremely sensitive, which is the only drawback.",positive,LAPTOP-GENERAL
"We had fun eating in there, we were there like around 3 a.m. in the morning!",positive,RESTAURANT-GENERAL
Good luck getting a table.,neutral,RESTAURANT-MISCELLANEOUS
I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise.,neutral,LAPTOP-DESIGN_FEATURES
It is thick and slightly soggy.,negative,FOOD-QUALITY
"The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).",neutral,CPU-MISCELLANEOUS
"Easy to carry, can be taken anywhere, can be hooked up to printers,headsets.",positive,LAPTOP-CONNECTIVITY
"I feel that it was poorly put together, because once in a while different plastic pieces would come off of it.",negative,LAPTOP-QUALITY
"sometimes i get bad food and bad service, sometimes i get good good and bad service.",negative,SERVICE-GENERAL
All in all great item highly recommend it.,positive,LAPTOP-GENERAL
"Volare virgins or weekly regulars, everyone gets treated the same and you can't ask for more than that when the service is this friendly.",positive,SERVICE-GENERAL
"Going to Bark is always worth the train ride, and will make your tongue and belly very happy!",positive,FOOD-QUALITY
